published_date,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri
2023-06-04,2.0,0.0,1.0,0.0,0.0,0063315505,9780063315501,Harper,The final report of the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol; with a foreword by Ari Melber.,0.00,THE JANUARY 6 REPORT,the House January 6th Committee,by the House January 6th Committee,,https://storage.googleapis.com/du-prd/books/images/9780063315501.jpg,333.0,500.0,https://www.amazon.com/dp/0063315505?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0063315505', 'isbn13': '9780063315501'}, {'isbn10': '0063315521', 'isbn13': '9780063315525'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0063315505?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780063315501?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063315501'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BJANUARY%252B6%252BREPORT%252Fthe%252BHouse%252BJanuary%252B6th%252BCommittee%252F9780063315501&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BJANUARY%252B6%252BREPORT%252Bthe%252BHouse%252BJanuary%252B6th%252BCommittee'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780063315501&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BJANUARY%2B6%2BREPORT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780063315501%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BJANUARY%2B6%2BREPORT%2Bthe%2BHouse%2BJanuary%2B6th%2BCommittee%26aff%3DNYT'}]",nyt://book/f16e93c6-9261-5024-9907-f348e138a106
2023-06-04,3.0,2.0,21.0,0.0,0.0,1982185821,9781982185824,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,0.00,I'M GLAD MY MOM DIED,Jennette McCurdy,by Jennette McCurdy,,https://storage.googleapis.com/du-prd/books/images/9781982185824.jpg,329.0,500.0,https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1982185821', 'isbn13': '9781982185824'}, {'isbn10': '1982185848', 'isbn13': '9781982185848'}, {'isbn10': '179714796X', 'isbn13': '9781797147963'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781982185824?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982185824'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FI%252527M%252BGLAD%252BMY%252BMOM%252BDIED%252FJennette%252BMcCurdy%252F9781982185824&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DI%252527M%252BGLAD%252BMY%252BMOM%252BDIED%252BJennette%252BMcCurdy'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781982185824&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DI%2527M%2BGLAD%2BMY%2BMOM%2BDIED'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781982185824%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DI%2527M%2BGLAD%2BMY%2BMOM%2BDIED%2BJennette%2BMcCurdy%26aff%3DNYT'}]",nyt://book/be73b1c3-c238-5232-af55-bf70c59cb907
2023-06-04,4.0,5.0,123.0,0.0,0.0,0143127748,9780143127741,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",0.00,THE BODY KEEPS THE SCORE,Bessel van der Kolk,by Bessel van der Kolk,,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,128.0,193.0,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20,,https://www.nytimes.com/2018/10/18/books/review/how-to-rewire-your-traumatized-brain.html,,,,"[{'isbn10': '0670785938', 'isbn13': '9780670785933'}, {'isbn10': '0143127748', 'isbn13': '9780143127741'}, {'isbn10': '1469092352', 'isbn13': '9781469092355'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780143127741?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780143127741'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252FBessel%252Bvan%252Bder%252BKolk%252F9780143127741&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252BBessel%252Bvan%252Bder%252BKolk'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780143127741&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780143127741%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE%2BBessel%2Bvan%2Bder%2BKolk%26aff%3DNYT'}]",nyt://book/e3e33e9d-0e67-5fec-b0d2-2ecddc38ce0e
2023-06-04,5.0,0.0,1.0,0.0,0.0,1250877520,9781250877529,Celadon,The final report of the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol; with a preface by David Remnick and epilogue by Representative Jamie Raskin.,0.00,THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,by the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,,https://storage.googleapis.com/du-prd/books/images/9781250877529.jpg,333.0,500.0,https://www.amazon.com/dp/1250877520?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250877520', 'isbn13': '9781250877529'}, {'isbn10': '1250877954', 'isbn13': '9781250877956'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1250877520?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250877529?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250877529'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BJANUARY%252B6TH%252BREPORT%252Fthe%252BSelect%252BCommittee%252Bto%252BInvestigate%252Bthe%252BJan.%252B6%252BAttack%252Bon%252Bthe%252BUnited%252BStates%252BCapitol%252F9781250877529&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BJANUARY%252B6TH%252BREPORT%252Bthe%252BSelect%252BCommittee%252Bto%252BInvestigate%252Bthe%252BJan.%252B6%252BAttack%252Bon%252Bthe%252BUnited%252BStates%252BCapitol'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250877529&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BJANUARY%2B6TH%2BREPORT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250877529%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BJANUARY%2B6TH%2BREPORT%2Bthe%2BSelect%2BCommittee%2Bto%2BInvestigate%2Bthe%2BJan.%2B6%2BAttack%2Bon%2Bthe%2BUnited%2BStates%2BCapitol%26aff%3DNYT'}]",nyt://book/d7e77606-6a2c-54a9-9242-896443beaab4
2023-06-04,6.0,3.0,9.0,0.0,0.0,1250866448,9781250866448,Flatiron,"The actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",0.00,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,by Matthew Perry,,https://storage.googleapis.com/du-prd/books/images/9781250866448.jpg,329.0,500.0,https://www.amazon.com/dp/1250866448?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250866448', 'isbn13': '9781250866448'}, {'isbn10': '1250866464', 'isbn13': '9781250866462'}, {'isbn10': '1250867061', 'isbn13': '9781250867063'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1250866448?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250866448?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250866448'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FFRIENDS%25252C%252BLOVERS%25252C%252BAND%252BTHE%252BBIG%252BTERRIBLE%252BTHING%252FMatthew%252BPerry%252F9781250866448&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DFRIENDS%25252C%252BLOVERS%25252C%252BAND%252BTHE%252BBIG%252BTERRIBLE%252BTHING%252BMatthew%252BPerry'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250866448&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DFRIENDS%252C%2BLOVERS%252C%2BAND%2BTHE%2BBIG%2BTERRIBLE%2BTHING'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250866448%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DFRIENDS%252C%2BLOVERS%252C%2BAND%2BTHE%2BBIG%2BTERRIBLE%2BTHING%2BMatthew%2BPerry%26aff%3DNYT'}]",nyt://book/04988f91-5b03-5eb4-ae17-89fda0e7051a
2023-06-04,7.0,13.0,10.0,0.0,0.0,1982117354,9781982117351,Scribner,The Pulitzer Prize-winning author chronicles the discovery of cells and describes how modern medicine uses them.,0.00,THE SONG OF THE CELL,Siddhartha Mukherjee,by Siddhartha Mukherjee,,https://storage.googleapis.com/du-prd/books/images/9781982117351.jpg,329.0,500.0,https://www.amazon.com/dp/1982117354?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1982117354', 'isbn13': '9781982117351'}, {'isbn10': '1982117370', 'isbn13': '9781982117375'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1982117354?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781982117351?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982117351'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BSONG%252BOF%252BTHE%252BCELL%252FSiddhartha%252BMukherjee%252F9781982117351&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BSONG%252BOF%252BTHE%252BCELL%252BSiddhartha%252BMukherjee'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781982117351&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BSONG%2BOF%2BTHE%2BCELL'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781982117351%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BSONG%2BOF%2BTHE%2BCELL%2BSiddhartha%2BMukherjee%26aff%3DNYT'}]",nyt://book/364d70cc-e228-5238-800e-a1e357531f7d
2023-06-04,8.0,7.0,11.0,0.0,0.0,0553393960,9780553393965,Random House,The Pulitzer Prize-winning biographer portrays the life of Abraham Lincoln.,0.00,AND THERE WAS LIGHT,Jon Meacham,by Jon Meacham,,https://storage.googleapis.com/du-prd/books/images/9780553393965.jpg,331.0,500.0,https://www.amazon.com/dp/0553393960?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0553393960', 'isbn13': '9780553393965'}, {'isbn10': '0553393979', 'isbn13': '9780553393972'}, {'isbn10': '0593632877', 'isbn13': '9780593632871'}, {'isbn10': '0593632869', 'isbn13': '9780593632864'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0553393960?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780553393965?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780553393965'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FAND%252BTHERE%252BWAS%252BLIGHT%252FJon%252BMeacham%252F9780553393965&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DAND%252BTHERE%252BWAS%252BLIGHT%252BJon%252BMeacham'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780553393965&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DAND%2BTHERE%2BWAS%2BLIGHT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780553393965%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DAND%2BTHERE%2BWAS%2BLIGHT%2BJon%2BMeacham%26aff%3DNYT'}]",nyt://book/4d07cdac-f733-5964-a1b1-2b8dd3079f38
2023-06-04,9.0,6.0,10.0,0.0,0.0,0316441112,9780316441117,"Little, Brown",The Pulitzer Prize-winning biographer details Samuel Adams’s contributions to the American Revolution.,0.00,THE REVOLUTIONARY,Stacy Schiff,by Stacy Schiff,,https://storage.googleapis.com/du-prd/books/images/9780316441117.jpg,338.0,500.0,https://www.amazon.com/dp/0316441112?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0316441112', 'isbn13': '9780316441117'}, {'isbn10': '0316441104', 'isbn13': '9780316441100'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0316441112?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316441117?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316441117'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BREVOLUTIONARY%252FStacy%252BSchiff%252F9780316441117&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BREVOLUTIONARY%252BStacy%252BSchiff'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316441117&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BREVOLUTIONARY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316441117%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BREVOLUTIONARY%2BStacy%2BSchiff%26aff%3DNYT'}]",nyt://book/82d00ded-3098-5791-8cec-bc60820e257e
2023-06-04,10.0,4.0,9.0,0.0,0.0,0525521046,9780525521044,Knopf,"The lead singer of the Irish rock band U2 offers details of his life, career and activism.",0.00,SURRENDER,Bono,by Bono,,https://storage.googleapis.com/du-prd/books/images/9780525521044.jpg,338.0,500.0,https://www.amazon.com/dp/0525521046?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525521046', 'isbn13': '9780525521044'}, {'isbn10': '0525521054', 'isbn13': '9780525521051'}, {'isbn10': '1984841653', 'isbn13': '9781984841650'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0525521046?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780525521044?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525521044'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSURRENDER%252FBono%252F9780525521044&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSURRENDER%252BBono'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525521044&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DSURRENDER'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525521044%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DSURRENDER%2BBono%26aff%3DNYT'}]",nyt://book/3cbc9603-c413-5c58-9cfc-ddba0c360ac3
2023-06-04,11.0,0.0,30.0,0.0,0.0,0060959479,9780060959470,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,0.00,ALL ABOUT LOVE,bell hooks,by bell hooks,,https://storage.googleapis.com/du-prd/books/images/9780060959470.jpg,319.0,500.0,https://www.amazon.com/dp/0060959479?tag=NYTBSREV-20,,,,https://www.nytimes.com/2000/01/30/books/that-4-letter-word.html,,"[{'isbn10': '0060959479', 'isbn13': '9780060959470'}, {'isbn10': '0062862170', 'isbn13': '9780062862174'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0060959479?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780060959470?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780060959470'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FALL%252BABOUT%252BLOVE%252Fbell%252Bhooks%252F9780060959470&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DALL%252BABOUT%252BLOVE%252Bbell%252Bhooks'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780060959470&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DALL%2BABOUT%2BLOVE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780060959470%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DALL%2BABOUT%2BLOVE%2Bbell%2Bhooks%26aff%3DNYT'}]",nyt://book/84ce374b-f6b1-5f05-8556-b0e09e97679c
2023-06-04,12.0,8.0,10.0,0.0,0.0,0593133234,9780593133231,Random House,The Pulitzer Prize–winning science writer explains the sensory perceptions and ways of communication used by a variety of animals.,0.00,AN IMMENSE WORLD,Ed Yong,by Ed Yong,,https://storage.googleapis.com/du-prd/books/images/9780593133231.jpg,329.0,500.0,https://www.amazon.com/dp/0593133234?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593133234', 'isbn13': '9780593133231'}, {'isbn10': '0593133242', 'isbn13': '9780593133248'}, {'isbn10': '0593593545', 'isbn13': '9780593593547'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593133234?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593133231?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593133231'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FAN%252BIMMENSE%252BWORLD%252FEd%252BYong%252F9780593133231&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DAN%252BIMMENSE%252BWORLD%252BEd%252BYong'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593133231&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DAN%2BIMMENSE%2BWORLD'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593133231%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DAN%2BIMMENSE%2BWORLD%2BEd%2BYong%26aff%3DNYT'}]",nyt://book/ce082838-bf4a-5a13-8b8b-f7e2f3589d0a
